verified_record_id,loan_id,borrower_id,original_principal,current_balance,interest_rate,payment_status,borrower_state,validation_status,reviewer_decision,verified_by,verified_at,record_hash
1678,LN-08301942-10020,BW-08301942-10020,67795.64,37775.54,10.06,CURRENT,MD,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,9906c87eee5b494def1d3ec09f518075d1fe9c2fe7f25f74ac335c5dec951b77
1679,LN-08301942-10021,BW-08301942-10021,70524.92,35177.2,15.04,CURRENT,HI,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,31a6af275c1c9e57a73c692fe17f3b1bad21fb6989f1b3b8a1513e5ea0a154e6
1680,LN-08301942-10022,BW-08301942-10022,162970.05,98569.77,4.67,CURRENT,NY,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,84cc39b02b500a2d15a7e3fad7fa51cd73328566496a3917164fdac59a590ebd
1681,LN-08301942-10023,BW-08301942-10023,108143.9,73816.32,17.0,CURRENT,OH,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,cd786b0bc12b05bd2c8c38753d443d3c3516136721cbd726aae873770dbacedd
1682,LN-08301942-10024,BW-08301942-10024,16593.03,9630.38,6.57,CURRENT,LA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,494d526da573681714b578dc09aad8ff3b729bc979566c24e5af31711efcb9d0
1683,LN-08301942-10025,BW-08301942-10025,48273.94,22420.52,5.46,CURRENT,IA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,c8feaa332a5a753a60369d7a0c886eb82ddbd35b7ce2c87c47b3fed8b45ea727
1684,LN-08301942-10026,BW-08301942-10026,278956.07,44164.76,13.03,CURRENT,ME,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,6e711f97f74f38747a007ba70fc78b4520f5f48fdc2038dcc24059e000a6956e
1685,LN-08301942-10027,BW-08301942-10027,115741.74,97124.9,8.84,CURRENT,VT,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,b6f2b3add95f50a8983e196272ad352ab14fc28e5e3e5822b4567ceb17ee6c42
1686,LN-08301942-10028,BW-08301942-10028,69479.73,13363.91,6.79,CURRENT,OH,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,f80503bd0568b83d066671ccf83e4466d26a580d3c04cca67c941cf5f7212be4
1687,LN-08301942-10029,BW-08301942-10029,245382.74,40275.16,5.87,CURRENT,VT,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,c07f59d9538c95ebe0854803d741d76d746a1edfebccbba643e69e9fe4aa1dbf
1688,LN-08301942-10030,BW-08301942-10030,111905.83,77830.37,11.29,CURRENT,DE,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,a87d72fb78ce54abc43074cabd893f200aafb2d35dfb9c179b5ed6dafb2b745b
1689,LN-08301942-10031,BW-08301942-10031,285556.98,171111.58,9.93,CURRENT,SD,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,5d883a2c7e1e0f49b2c0d745534694b56f44aa305b9bd8d375654297ee8a21da
1690,LN-08301942-10032,BW-08301942-10032,98643.86,47072.88,9.73,CURRENT,MI,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,967ce266e2c936025bf7ef3f2bb974a14bda27b932e46cfb8eef4de3c5253cf5
1691,LN-08301942-10033,BW-08301942-10033,178987.21,27372.04,8.14,CURRENT,MS,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,e9e56fe445921b5a5bdc0ba1114b625b92d01664dc7cd9fd3d14b89e8e69a888
1692,LN-08301942-10034,BW-08301942-10034,215857.19,143980.61,7.36,CURRENT,IN,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,339f579251186300c08cd4c5366be67237d6b827b5cdd688e3167765b41366aa
1693,LN-08301942-10035,BW-08301942-10035,37580.18,6139.49,12.69,CURRENT,FL,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,35a9bf89daa4ab76d1d82ea0ac57d9bca5371985983b8dae9fc571f5291cd10c
1694,LN-08301942-10036,BW-08301942-10036,226383.97,190969.46,16.28,CURRENT,IL,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,922c7a967c3a8a75058cef3f8ef5823d5c60df4abf7ba59167f4bc24025841e1
1695,LN-08301942-10037,BW-08301942-10037,299447.24,146857.37,18.1,CURRENT,OR,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,ce840564c2636b35a60dba6cfb94499ab637eeb694653eb380e822094a012054
1696,LN-08301942-10038,BW-08301942-10038,166485.67,87625.8,9.36,CURRENT,MN,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,bdc7b62ee8e76a32d6742e63bc3929435658b9bf5c39cb10853eee4e4d89c8c6
1697,LN-08301942-10039,BW-08301942-10039,251707.51,64032.89,5.57,CURRENT,WY,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,60cef304f64e277e19d469ebedc6e25e7cc32e820ceee655897a96d34142bac7
1698,LN-08301942-10040,BW-08301942-10040,122489.2,67166.63,6.1,CURRENT,PA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,377dc652f423d9ce004570d41378eb33117693d2e488dbb7af26e1aebb94e23f
