loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system,custom_risk_score,unmapped_vendor_data
LN-08270910-10011,BW-08270910-10011,STUDENT,2023-09-21,2027-08-31,228316.03,70071.05,4.78,48,CA,EDUCATION,B,10+ years,$25k-$50k,CURRENT,0,DeltaServicing,2023-11-20,2020-01-01,VERIFIED,MANUAL_EXCEL,,
LN-08270910-10012,BW-08270910-10012,COMMERCIAL,2023-03-28,2028-03-01,23502.75,7115.93,6.46,60,NY,BUSINESS_EXPANSION,C,5 years,$100k+,CURRENT,0,GammaServicing,2023-05-27,2026-08-27,VERIFIED,ORIGINATION_API,,
LN-08270910-10013,BW-08270910-10013,MORTGAGE,2023-06-28,2025-06-17,260339.92,45000.0,12.43,24,OH,DEBT_CONSOLIDATION,B,1 year,<$25k,CLOSED,0,DeltaServicing,2023-08-27,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10014,BW-08270910-10014,COMMERCIAL,2023-09-12,2033-07-21,129005.08,107168.68,10.75,120,GA,BUSINESS_EXPANSION,F,1 year,$25k-$50k,CLOSED,0,ApexServicing,2023-11-11,2026-08-27,PENDING,MANUAL_EXCEL,EXT-RISK-703,
LN-08270910-10015,BW-08270910-10015,PERSONAL,2023-02-27,2025-02-16,114626.64,18500.5,5.15,24,TX,EDUCATION,A,1 year,$25k-$50k,CURRENT,0,ApexServicing,2023-04-28,2026-08-27,VERIFIED,SERVICER_CSV,,VENDOR-TAG-45
LN-08270910-10016,BW-08270910-10016,MORTGAGE,2023-10-11,2025-09-30,263333.01,54176.27,7.19,24,PA,AUTO_PURCHASE,E,10+ years,$25k-$50k,CURRENT,0,BetaServicing,2023-12-10,2026-08-27,VERIFIED,ORIGINATION_API,,
LN-08270910-10017,BW-08270910-10017,STUDENT,2023-03-19,2025-03-08,165960.08,62449.81,13.76,24,NY,AUTO_PURCHASE,C,10+ years,$75k-$100k,LATE_60,81,DeltaServicing,2023-05-18,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10018,BW-08270910-10018,COMMERCIAL,2023-10-13,2027-09-22,119986.37,89683.03,5.29,48,OH,DEBT_CONSOLIDATION,E,1 year,$100k+,CURRENT,0,ApexServicing,2023-12-12,2026-08-27,VERIFIED,LOS_ALPHA,,
LN-08270910-10019,BW-08270910-10019,PERSONAL,2023-09-15,2053-04-10,154997.95,60883.5,11.68,360,TX,BUSINESS_EXPANSION,D,1 year,$50k-$75k,LATE_30,40,DeltaServicing,2023-11-14,2026-08-27,PENDING,ORIGINATION_API,,VENDOR-TAG-21
LN-08270910-10020,BW-08270910-10020,PERSONAL,2023-08-06,2053-03-01,171739.3,136797.56,18.43,360,FL,BUSINESS_EXPANSION,A,10+ years,$50k-$75k,CLOSED,0,GammaServicing,2023-10-05,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10021,BW-08270910-10021,PERSONAL,2023-10-11,2026-09-25,119257.22,24280.53,18.42,36,NC,DEBT_CONSOLIDATION,E,5 years,$25k-$50k,LATE_30,54,ApexServicing,2023-12-10,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10022,BW-08270910-10022,MORTGAGE,2023-03-09,2025-02-26,37535.14,6186.97,6.1,24,CA,EDUCATION,E,10+ years,$25k-$50k,CURRENT,0,GammaServicing,2023-05-08,2026-08-27,VERIFIED,ORIGINATION_API,,
LN-08270910-10023,BW-REPEAT-2,STUDENT,2023-08-12,2033-06-20,172346.26,99473.96,17.86,120,WA,AUTO_PURCHASE,B,1 year,<$25k,CURRENT,0,GammaServicing,2023-10-11,2026-08-27,VERIFIED,MANUAL_EXCEL,,
LN-08270910-10024,BW-08270910-10024,STUDENT,2023-05-13,2033-03-21,12137.65,5298.62,12.25,120,WA,AUTO_PURCHASE,F,< 1 year,$50k-$75k,CLOSED,0,DeltaServicing,2023-07-12,2026-08-27,PENDING,LOS_ALPHA,,VENDOR-TAG-65
LN-08270910-10025,BW-08270910-10025,PERSONAL,2023-08-05,2025-07-25,85577.81,36447.26,13.73,24,NC,BUSINESS_EXPANSION,A,2 years,$50k-$75k,LATE_30,52,DeltaServicing,2023-10-04,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10026,BW-08270910-10026,PERSONAL,2023-09-29,2025-09-18,237003.15,190137.51,10.68,24,TX,HOME_PURCHASE,C,1 year,$25k-$50k,CLOSED,0,BetaServicing,2023-11-28,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10027,BW-08270910-10027,STUDENT,2023-01-19,2052-08-14,110750.43,91635.27,9.09,360,ZZ,HOME_PURCHASE,E,1 year,$100k+,LATE_30,42,ApexServicing,2023-03-20,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10028,BW-08270910-10028,MORTGAGE,2023-07-24,2033-06-01,295319.22,100034.79,5.96,120,ZZ,EDUCATION,E,1 year,$75k-$100k,LATE_90,117,ApexServicing,2023-09-22,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10029,BW-08270910-10029,AUTO,2023-06-05,2026-05-20,277306.59,110535.01,9.67,36,OH,BUSINESS_EXPANSION,C,5 years,<$25k,LATE_30,48,BetaServicing,2023-08-04,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10030,BW-08270910-10030,MORTGAGE,2023-06-30,2026-06-14,30118.25,20970.75,9.4,36,ZZ,EDUCATION,B,10+ years,$100k+,LATE_30,46,DeltaServicing,2023-08-29,2026-08-27,PENDING,ORIGINATION_API,EXT-RISK-211,VENDOR-TAG-95
LN-08270910-10031,BW-08270910-10031,AUTO,2023-11-11,2033-09-19,246043.29,160775.29,7.18,120,PA,AUTO_PURCHASE,F,2 years,$75k-$100k,CURRENT,0,BetaServicing,2024-01-10,2026-08-27,VERIFIED,MANUAL_EXCEL,,VENDOR-TAG-87
LN-08270910-10032,BW-08270910-10032,PERSONAL,2023-07-01,2028-06-04,148090.52,75439.56,10.55,60,WA,HOME_PURCHASE,A,1 year,<$25k,LATE_30,51,BetaServicing,2023-08-30,2026-08-27,PENDING,MANUAL_EXCEL,,VENDOR-TAG-78
LN-08270910-10033,BW-08270910-10033,STUDENT,2023-04-05,2026-03-20,258506.67,174875.47,7.84,36,NC,DEBT_CONSOLIDATION,C,< 1 year,$50k-$75k,LATE_90,91,GammaServicing,2023-06-04,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10034,BW-08270910-10034,AUTO,2023-02-19,2025-02-08,162912.84,32509.78,120.0,24,FL,EDUCATION,F,10+ years,$25k-$50k,LATE_90,96,GammaServicing,2023-04-20,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10035,BW-08270910-10035,MORTGAGE,2023-10-11,2053-05-06,259310.2,84298.02,4.77,360,CA,DEBT_CONSOLIDATION,F,< 1 year,$50k-$75k,CURRENT,0,GammaServicing,2023-12-10,2026-08-27,VERIFIED,LOS_ALPHA,,
LN-08270910-10036,BW-08270910-10036,PERSONAL,2023-01-23,2052-08-18,25333.7,9246.9,11.62,360,PA,BUSINESS_EXPANSION,A,< 1 year,$100k+,CLOSED,0,GammaServicing,2023-03-24,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10037,BW-08270910-10037,STUDENT,2023-03-10,2025-02-27,197803.28,164764.43,7.39,24,99,DEBT_CONSOLIDATION,E,< 1 year,$100k+,CLOSED,0,ApexServicing,2023-05-09,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10038,BW-08270910-10038,MORTGAGE,2023-10-09,2026-09-23,267988.3,95068.46,10.12,36,OH,EDUCATION,B,10+ years,$75k-$100k,CURRENT,0,BetaServicing,2023-12-08,2026-08-27,VERIFIED,MANUAL_EXCEL,,
LN-08270910-10039,BW-08270910-10039,PERSONAL,2023-07-21,2053-02-13,230537.48,175018.1,6.04,360,NY,DEBT_CONSOLIDATION,B,5 years,<$25k,LATE_60,73,DeltaServicing,2023-09-19,2026-08-27,PENDING,LOS_ALPHA,,VENDOR-TAG-51
LN-08270910-10040,BW-08270910-10040,PERSONAL,2023-11-03,2025-10-23,25094.47,8501.81,12.11,24,OH,AUTO_PURCHASE,A,5 years,$25k-$50k,LATE_30,35,GammaServicing,2024-01-02,2026-08-27,PENDING,MANUAL_EXCEL,EXT-RISK-743,
LN-08270910-10041,BW-08270910-10041,AUTO,2023-08-18,2027-07-28,148974.19,79995.11,6.21,48,NY,AUTO_PURCHASE,D,1 year,$25k-$50k,LATE_60,68,GammaServicing,2023-10-17,2026-08-27,PENDING,ORIGINATION_API,EXT-RISK-132,
LN-08270910-10042,BW-08270910-10042,COMMERCIAL,2023-07-17,2033-05-25,-258215.63,128370.96,12.47,120,WA,BUSINESS_EXPANSION,A,< 1 year,$25k-$50k,LATE_30,58,BetaServicing,2023-09-15,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10043,BW-08270910-10043,MORTGAGE,2023-10-03,2028-09-06,182653.46,31723.47,5.54,60,WA,HOME_PURCHASE,A,10+ years,$25k-$50k,CLOSED,0,GammaServicing,2023-12-02,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10044,BW-08270910-10044,MORTGAGE,2023-07-17,2033-05-25,208930.52,45000.0,5.48,120,FL,EDUCATION,C,5 years,$25k-$50k,CLOSED,54,GammaServicing,2023-09-15,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10045,BW-08270910-10045,MORTGAGE,2023-11-13,2028-10-17,237185.41,167150.49,6.1,60,OH,BUSINESS_EXPANSION,C,5 years,$75k-$100k,DEFAULT,337,ApexServicing,2024-01-12,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10046,BW-08270910-10046,COMMERCIAL,2023-10-17,2053-05-12,200483.79,73293.26,17.71,360,GA,DEBT_CONSOLIDATION,C,10+ years,$50k-$75k,DEFAULT,147,GammaServicing,2023-12-16,2026-08-27,PENDING,LOS_ALPHA,,
,BW-08270910-10047,MORTGAGE,2023-03-08,2027-02-15,136120.79,36581.24,16.17,48,PA,EDUCATION,B,10+ years,<$25k,LATE_30,48,DeltaServicing,2023-05-07,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10048,BW-08270910-10048,AUTO,2023-08-20,2053-03-15,70247.63,46303.19,10.5,360,WA,EDUCATION,C,2 years,$75k-$100k,LATE_30,36,GammaServicing,2023-10-19,2026-08-27,NULL,ORIGINATION_API,,
LN-08270910-10049,BW-08270910-10049,COMMERCIAL,2023-08-31,2027-08-10,49291.94,45000.0,17.0,48,IL,BUSINESS_EXPANSION,F,< 1 year,$100k+,CLOSED,72,DeltaServicing,2023-10-30,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10050,BW-08270910-10050,PERSONAL,2023-04-25,2027-04-04,209105.88,175696.41,12.02,48,PA,BUSINESS_EXPANSION,F,1 year,$50k-$75k,CURRENT,0,DeltaServicing,2023-06-24,2026-08-27,VERIFIED,ORIGINATION_API,EXT-RISK-480,
LN-08270910-10051,BW-08270910-10051,MORTGAGE,2023-11-03,2026-10-18,182930.13,47728.19,9.56,36,NC,AUTO_PURCHASE,A,2 years,$50k-$75k,LATE_30,40,GammaServicing,2024-01-02,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10052,BW-08270910-10052,COMMERCIAL,INVALID_DATE,2025-04-26,41102.83,30027.63,5.11,24,GA,HOME_PURCHASE,F,10+ years,$75k-$100k,CURRENT,0,GammaServicing,2023-07-06,2026-08-27,VERIFIED,MANUAL_EXCEL,EXT-RISK-158,
LN-08270910-10053,BW-08270910-10053,PERSONAL,2023-12-30,2025-12-19,156151.86,77935.99,17.49,24,CA,BUSINESS_EXPANSION,A,5 years,<$25k,DEFAULT,172,DeltaServicing,2024-02-28,2026-08-27,PENDING,MANUAL_EXCEL,EXT-RISK-345,
LN-08270910-10054,BW-08270910-10054,PERSONAL,2023-08-11,2025-07-31,80901.36,32070.45,14.17,24,WA,DEBT_CONSOLIDATION,D,2 years,$100k+,LATE_30,56,DeltaServicing,2023-10-10,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10055,BW-08270910-10055,AUTO,2023-06-09,2026-05-24,33081.4,25727.27,16.27,36,GA,BUSINESS_EXPANSION,D,< 1 year,$25k-$50k,CLOSED,0,ApexServicing,2023-08-08,2026-08-27,PENDING,LOS_ALPHA,EXT-RISK-790,VENDOR-TAG-33
LN-08270910-10056,BW-REPEAT-3,COMMERCIAL,2023-01-22,2032-11-30,249757.69,104024.5,12.3,120,IL,BUSINESS_EXPANSION,E,5 years,$100k+,CLOSED,0,ApexServicing,2023-03-23,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10057,BW-08270910-10057,COMMERCIAL,2023-07-18,2033-05-26,223703.3,184154.17,12.88,120,NC,BUSINESS_EXPANSION,F,5 years,$25k-$50k,LATE_30,32,BetaServicing,2023-09-16,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10058,BW-08270910-10058,AUTO,2023-09-15,2025-09-04,264545.17,156799.65,6.89,24,TX,DEBT_CONSOLIDATION,C,1 year,$75k-$100k,CLOSED,0,BetaServicing,2023-11-14,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10059,BW-08270910-10059,COMMERCIAL,2023-12-11,2027-11-20,79565.58,37020.69,11.44,48,NY,BUSINESS_EXPANSION,E,1 year,$75k-$100k,DEFAULT,297,BetaServicing,2024-02-09,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10037,BW-08270910-10060,COMMERCIAL,2023-05-01,2033-03-09,237663.42,45539.11,6.02,120,FL,DEBT_CONSOLIDATION,B,2 years,<$25k,LATE_90,105,GammaServicing,2023-06-30,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10061,BW-08270910-10061,PERSONAL,2023-03-08,2033-01-14,93867.58,55721.41,7.14,120,WA,EDUCATION,A,1 year,$25k-$50k,LATE_30,53,BetaServicing,2023-05-07,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10062,BW-08270910-10062,PERSONAL,2023-05-26,2026-05-10,255201.98,202805.82,9.56,36,NC,AUTO_PURCHASE,F,2 years,$50k-$75k,CURRENT,0,DeltaServicing,2023-07-25,2026-08-27,VERIFIED,MANUAL_EXCEL,,
LN-08270910-10063,BW-08270910-10063,MORTGAGE,2023-08-05,2025-07-25,250604.1,141461.04,13.98,24,OH,DEBT_CONSOLIDATION,E,10+ years,$100k+,CURRENT,0,ApexServicing,2023-10-04,2026-08-27,VERIFIED,MANUAL_EXCEL,,
LN-08270910-10064,BW-08270910-10064,AUTO,2023-12-20,2025-12-09,29050.0,13769.25,16.73,24,GA,EDUCATION,B,2 years,<$25k,CLOSED,0,DeltaServicing,2024-02-18,2026-08-27,PENDING,SERVICER_CSV,EXT-RISK-885,
LN-08270910-10065,BW-08270910-10065,AUTO,2023-07-26,2027-07-05,166461.93,127936.22,17.88,48,CA,EDUCATION,F,5 years,$75k-$100k,DEFAULT,146,GammaServicing,2023-09-24,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10066,BW-08270910-10066,PERSONAL,2023-03-12,2028-02-14,284686.87,57899.61,16.46,60,FL,AUTO_PURCHASE,D,2 years,$100k+,CLOSED,0,DeltaServicing,2023-05-11,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10067,BW-08270910-10067,STUDENT,2023-09-08,2033-07-17,175750.13,103111.58,13.73,120,NY,BUSINESS_EXPANSION,A,2 years,$50k-$75k,DEFAULT,336,ApexServicing,2023-11-07,2026-08-27,PENDING,ORIGINATION_API,EXT-RISK-471,
LN-08270910-10068,BW-08270910-10068,STUDENT,2023-04-09,2033-02-15,203233.78,50611.2,17.54,120,NC,EDUCATION,D,1 year,$50k-$75k,LATE_60,65,BetaServicing,2023-06-08,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10069,BW-08270910-10069,PERSONAL,2023-01-02,2025-12-17,198112.73,119842.62,12.15,36,GA,AUTO_PURCHASE,D,10+ years,<$25k,LATE_30,52,ApexServicing,2023-03-03,2026-08-27,PENDING,ORIGINATION_API,EXT-RISK-950,
LN-08270910-10070,BW-08270910-10070,MORTGAGE,2023-08-06,2026-07-21,138126.38,87100.88,17.88,36,WA,DEBT_CONSOLIDATION,F,5 years,$50k-$75k,CURRENT,0,DeltaServicing,2023-10-05,2026-08-27,VERIFIED,ORIGINATION_API,,
LN-08270910-10071,BW-08270910-10071,COMMERCIAL,2023-03-10,2028-02-12,117861.21,47770.01,14.54,60,NC,HOME_PURCHASE,D,2 years,$50k-$75k,CLOSED,0,BetaServicing,2023-05-09,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10072,BW-08270910-10072,STUDENT,2023-05-07,2027-04-16,15000.0,28500.0,14.07,48,OH,HOME_PURCHASE,C,10+ years,$25k-$50k,CURRENT,0,GammaServicing,2023-07-06,2026-08-27,VERIFIED,SERVICER_CSV,,
LN-08270910-10073,BW-08270910-10073,COMMERCIAL,2023-03-04,2052-09-27,260601.62,140504.87,6.9,360,NC,EDUCATION,B,10+ years,$25k-$50k,CURRENT,0,GammaServicing,2023-05-03,2026-08-27,VERIFIED,LOS_ALPHA,EXT-RISK-369,
LN-08270910-10074,BW-08270910-10074,AUTO,2023-02-23,2028-01-28,105534.81,56837.44,9.53,60,NC,BUSINESS_EXPANSION,E,10+ years,<$25k,LATE_90,103,ApexServicing,2023-04-24,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10075,BW-08270910-10075,MORTGAGE,2023-10-03,2027-09-12,170722.48,73994.94,6.6,48,PA,EDUCATION,B,2 years,$75k-$100k,DEFAULT,151,GammaServicing,2023-12-02,2026-08-27,PENDING,ORIGINATION_API,,VENDOR-TAG-20
LN-08270910-10076,BW-08270910-10076,STUDENT,2023-01-13,2052-08-08,46715.0,37878.6,8.46,360,XX1,HOME_PURCHASE,E,5 years,$50k-$75k,CURRENT,0,BetaServicing,2023-03-14,2026-08-27,VERIFIED,LOS_ALPHA,,
LN-08270910-10077,BW-08270910-10077,PERSONAL,2023-11-28,2027-11-07,232173.76,91858.1,15.76,48,NY,AUTO_PURCHASE,D,10+ years,$25k-$50k,LATE_60,77,ApexServicing,2024-01-27,2026-08-27,PENDING,LOS_ALPHA,,VENDOR-TAG-82
LN-08270910-10078,BW-08270910-10078,PERSONAL,2023-08-28,2026-08-12,296028.79,140753.82,17.38,36,FL,DEBT_CONSOLIDATION,B,5 years,$50k-$75k,DEFAULT,343,DeltaServicing,2023-10-27,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10079,BW-08270910-10079,STUDENT,2023-02-19,2028-01-24,153711.52,43606.54,5.73,60,TX,BUSINESS_EXPANSION,D,< 1 year,$50k-$75k,LATE_60,60,DeltaServicing,2023-04-20,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10080,BW-08270910-10080,MORTGAGE,2023-07-21,2028-06-24,71910.39,11597.03,8.81,60,GA,DEBT_CONSOLIDATION,E,5 years,$25k-$50k,CLOSED,0,DeltaServicing,2023-09-19,2020-01-01,PENDING,MANUAL_EXCEL,EXT-RISK-244,
LN-08270910-10081,BW-08270910-10081,PERSONAL,2023-01-12,2025-12-27,86774.29,62211.34,5.89,36,OH,DEBT_CONSOLIDATION,C,10+ years,<$25k,LATE_60,61,ApexServicing,2023-03-13,2020-01-01,PENDING,ORIGINATION_API,,
LN-08270910-10082,BW-08270910-10082,MORTGAGE,2023-06-16,2025-06-05,62166.75,21427.51,8.11,24,WA,BUSINESS_EXPANSION,D,1 year,$100k+,LATE_30,32,ApexServicing,2023-08-15,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10083,BW-08270910-10083,PERSONAL,2023-04-04,2028-03-08,50833.91,31407.66,5.27,60,NC,EDUCATION,D,< 1 year,$100k+,CURRENT,0,ApexServicing,2023-06-03,2026-08-27,VERIFIED,LOS_ALPHA,,
LN-08270910-10084,BW-08270910-10084,MORTGAGE,2023-03-17,2028-02-19,15000.0,28500.0,11.74,60,CA,AUTO_PURCHASE,B,1 year,<$25k,DEFAULT,166,ApexServicing,2023-05-16,2026-08-27,PENDING,ORIGINATION_API,,
LN-08270910-10085,BW-08270910-10085,COMMERCIAL,2023-10-12,2053-05-07,117330.68,61305.22,6.11,360,OH,BUSINESS_EXPANSION,D,2 years,$100k+,LATE_60,75,DeltaServicing,2023-12-11,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10086,BW-08270910-10086,MORTGAGE,2023-10-10,2026-09-24,290717.06,79974.54,16.08,36,IL,HOME_PURCHASE,A,1 year,<$25k,LATE_30,40,GammaServicing,2023-12-09,2026-08-27,PENDING,LOS_ALPHA,EXT-RISK-306,VENDOR-TAG-17
LN-08270910-10087,BW-08270910-10087,AUTO,2023-01-22,2025-01-11,166506.31,131573.19,14.06,24,IL,DEBT_CONSOLIDATION,D,1 year,$75k-$100k,LATE_60,60,GammaServicing,2023-03-23,2026-08-27,PENDING,SERVICER_CSV,,VENDOR-TAG-61
LN-08270910-10088,BW-08270910-10088,MORTGAGE,2023-07-07,2053-01-30,113402.37,84694.11,13.07,360,TX,DEBT_CONSOLIDATION,B,2 years,$75k-$100k,LATE_30,35,DeltaServicing,2023-09-05,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10089,BW-08270910-10089,AUTO,2023-09-02,2033-07-11,125417.05,72330.21,18.41,120,CA,HOME_PURCHASE,F,5 years,$50k-$75k,CLOSED,0,DeltaServicing,2023-11-01,2026-08-27,PENDING,SERVICER_CSV,EXT-RISK-582,
LN-08270910-10090,BW-08270910-10090,AUTO,2023-01-11,2026-12-21,235451.89,48824.57,12.75,48,NC,DEBT_CONSOLIDATION,E,2 years,<$25k,DEFAULT,346,BetaServicing,2023-03-12,2026-08-27,PENDING,ORIGINATION_API,,VENDOR-TAG-71
LN-08270910-10091,BW-08270910-10091,STUDENT,2023-01-25,2027-01-04,290154.07,75965.95,12.16,48,NC,AUTO_PURCHASE,F,10+ years,$100k+,LATE_90,108,ApexServicing,2023-03-26,2026-08-27,PENDING,SERVICER_CSV,,
LN-08270910-10092,BW-08270910-10092,PERSONAL,2023-02-11,2032-12-20,270114.13,123575.63,12.69,120,TX,BUSINESS_EXPANSION,C,1 year,$100k+,LATE_90,0,GammaServicing,2023-04-12,2026-08-27,PENDING,LOS_ALPHA,EXT-RISK-202,
LN-08270910-10093,BW-08270910-10093,STUDENT,2023-07-22,2026-07-06,84090.15,24807.43,14.97,36,OH,EDUCATION,A,2 years,<$25k,CURRENT,0,ApexServicing,2023-09-20,2026-08-27,VERIFIED,SERVICER_CSV,EXT-RISK-927,
LN-08270910-10094,BW-08270910-10094,STUDENT,2023-05-07,2025-04-26,140895.74,111845.69,11.62,24,NC,DEBT_CONSOLIDATION,C,10+ years,<$25k,LATE_90,95,DeltaServicing,2023-07-06,2026-08-27,PENDING,SERVICER_CSV,EXT-RISK-655,VENDOR-TAG-13
LN-08270910-10095,BW-08270910-10095,PERSONAL,2023-08-23,2033-07-01,162928.52,45000.0,14.82,120,WA,AUTO_PURCHASE,A,10+ years,$25k-$50k,CLOSED,82,GammaServicing,2023-10-22,2026-08-27,PENDING,MANUAL_EXCEL,,VENDOR-TAG-27
LN-08270910-10096,BW-08270910-10096,PERSONAL,2023-11-01,2025-10-21,163644.25,114145.05,120.0,24,TX,EDUCATION,E,2 years,$50k-$75k,DEFAULT,177,ApexServicing,2023-12-31,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10097,BW-08270910-10097,STUDENT,2023-02-06,2025-01-26,130685.0,40511.22,8.06,24,CA,AUTO_PURCHASE,F,1 year,$100k+,LATE_60,63,ApexServicing,2023-04-07,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10098,BW-08270910-10098,COMMERCIAL,2023-10-04,2027-09-13,107984.51,42443.58,12.85,48,WA,EDUCATION,D,5 years,<$25k,LATE_30,52,DeltaServicing,2023-12-03,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10099,BW-08270910-10099,PERSONAL,2023-05-06,2027-04-15,140303.48,105449.19,10.15,48,GA,BUSINESS_EXPANSION,B,5 years,$100k+,CURRENT,0,GammaServicing,2023-07-05,2026-08-27,VERIFIED,LOS_ALPHA,,
LN-08270910-10100,BW-08270910-10100,COMMERCIAL,2023-06-09,2027-05-19,33162.68,18952.79,6.36,48,GA,EDUCATION,B,5 years,$100k+,LATE_90,90,ApexServicing,2023-08-08,2026-08-27,PENDING,ORIGINATION_API,,VENDOR-TAG-40
