loan_id,servicer_id,updated_current_balance,updated_payment_status,updated_days_past_due,last_payment_date,servicer_as_of_date,unexpected_audit_flag,servicer_raw_notes
LN-08270910-10129,SERV-01,40000.26,LATE_90,92,2023-08-22,2026-08-27,,Servicer note line 129
LN-08270910-10130,SERV-01,27389.88,CURRENT,0,2023-11-08,2026-08-27,,
LN-08270910-10131,SERV-03,145346.95,LATE_60,67,2023-09-23,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10132,SERV-02,18736.12,LATE_90,107,2023-03-31,2026-08-27,,
LN-08270910-10133,SERV-01,55633.58,LATE_30,48,2023-06-27,2026-08-27,,
LN-08270910-10134,SERV-01,113792.99,LATE_90,119,2023-06-21,2026-08-27,,Servicer note line 134
LN-08270910-10135,SERV-02,83741.25,CURRENT,0,2023-05-14,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10136,SERV-02,27967.03,LATE_90,119,2023-07-04,2026-08-27,,
LN-08270910-10137,SERV-02,28636.44,LATE_30,47,2023-09-17,2026-08-27,,
LN-08270910-10138,SERV-02,188429.97,CLOSED,0,2024-02-19,2026-08-27,,
LN-08270910-10139,SERV-02,115977.35,LATE_30,54,2023-12-20,2026-08-27,,
LN-08270910-10140,SERV-01,25390.74,DEFAULT,338,2023-04-15,2026-08-27,,
LN-08270910-10141,SERV-01,27370.3,CURRENT,0,2024-02-06,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10142,SERV-02,26936.73,CURRENT,0,2023-04-02,2026-08-27,,
LN-08270910-10143,SERV-02,108763.54,CURRENT,45,2023-11-19,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10144,SERV-03,195152.09,CLOSED,0,2024-01-13,2026-08-27,,
LN-08270910-10145,SERV-02,78570.38,CLOSED,0,2023-11-12,2026-08-27,,
LN-08270910-10146,SERV-02,11700.1,LATE_90,96,2023-10-28,2026-08-27,,
LN-08270910-10147,SERV-03,26765.47,LATE_30,55,2024-01-22,2026-08-27,AUDIT-FLAG-4,Servicer note line 147
LN-08270910-10148,SERV-03,35546.57,CURRENT,0,2023-06-11,2026-08-27,,
LN-08270910-10149,SERV-03,103463.33,LATE_30,39,2024.05.10,2026-08-27,,
LN-08270910-10150,SERV-02,125262.67,LATE_30,57,2024-01-29,2026-08-27,,
LN-08270910-10151,SERV-03,93643.97,LATE_60,69,2023-08-31,2026-08-27,,
LN-08270910-10152,SERV-02,55562.28,LATE_60,76,2023-08-12,2026-08-27,AUDIT-FLAG-4,
LN-08270910-10153,SERV-01,121085.07,CURRENT,0,2024-01-04,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10154,SERV-03,149470.86,DEFAULT,199,2023-11-25,2026-08-27,,
LN-08270910-10154,SERV-03,149570.86,DEFAULT,199,2023-11-25,2026-08-27,,
LN-08270910-10155,SERV-02,219677.65,DEFAULT,356,2023-08-19,2026-08-27,,
LN-08270910-10157,SERV-01,181467.06,CURRENT,0,2023-10-04,2026-08-27,,
LN-08270910-10158,SERV-02,156224.21,CLOSED,0,2024-01-11,2026-08-27,,Servicer note line 158
LN-08270910-10159,SERV-01,18837.22,CURRENT,0,2023-05-09,2026-08-27,,
LN-08270910-10160,SERV-02,56781.43,LATE_90,111,2023-07-17,2026-08-27,,
LN-08270910-10161,SERV-02,52197.32,DEFAULT,242,2023-06-14,2026-08-27,,
LN-08270910-10162,SERV-02,63949.43,CLOSED,0,2023-10-21,2026-08-27,,Servicer note line 162
LN-08270910-10163,SERV-01,20637.24,DEFAULT,266,2023-09-22,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10164,SERV-01,168962.5,LATE_60,71,2023-08-15,2026-08-27,,
LN-08270910-10165,SERV-03,63471.43,DEFAULT,211,2024-01-17,2026-08-27,AUDIT-FLAG-2,
LN-08270910-10166,SERV-01,14348.73,DEFAULT,247,2023-10-01,2026-08-27,,
LN-08270910-10167,SERV-03,90428.41,CURRENT,0,2023-08-13,2026-08-27,,
LN-08270910-10168,SERV-02,42837.67,CURRENT,0,2024-02-08,2026-08-27,,
LN-08270910-10169,SERV-02,117018.46,LATE_60,88,2023-10-25,2026-08-27,,
,SERV-01,13930.92,LATE_60,85,2023-08-03,2026-08-27,,
LN-08270910-10171,SERV-02,9983.98,LATE_90,94,2024.05.10,2026-08-27,,
LN-08270910-10172,SERV-01,57669.15,LATE_30,53,2023-07-21,2026-08-27,AUDIT-FLAG-3,Servicer note line 172
LN-08270910-10173,SERV-03,172981.74,CURRENT,0,2023-08-14,2026-08-27,,
LN-08270910-10174,SERV-03,27740.48,LATE_90,118,2023-07-16,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10175,SERV-03,104950.65,LATE_30,58,2023-03-27,2026-08-27,AUDIT-FLAG-4,
LN-08270910-10176,SERV-03,84504.14,CURRENT,0,2023-08-30,2026-08-27,,Servicer note line 176
LN-08270910-10177,SERV-02,38679.99,LATE_60,85,2024-02-22,2026-08-27,,Servicer note line 177
LN-08270910-10082,SERV-01,154941.81,LATE_30,50,2023-04-26,2026-08-27,,
LN-08270910-10180,SERV-02,190649.44,LATE_60,60,2023-06-20,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10181,SERV-01,164894.18,CURRENT,0,2023-08-29,2026-08-27,,
LN-08270910-10182,SERV-03,56510.77,LATE_60,77,2023-07-25,2026-08-27,,
LN-08270910-10183,SERV-02,81485.64,LATE_90,91,2023-06-05,2026-08-27,,
LN-08270910-10184,SERV-03,73313.9,LATE_60,64,2023-11-16,2026-08-27,,
LN-08270910-10185,SERV-01,168463.6,CURRENT,0,2024-02-25,2026-08-27,,
LN-08270910-10186,SERV-02,24654.02,CURRENT,0,2023-03-14,2026-08-27,,Servicer note line 186
LN-08270910-10187,SERV-01,39007.35,DEFAULT,245,2023-06-24,2026-08-27,,
LN-08270910-10188,SERV-01,101146.39,CLOSED,0,2023-11-10,2026-08-27,,
LN-08270910-10189,SERV-01,12100.0,LATE_45,32,2023-04-23,2026-08-27,AUDIT-FLAG-5,Servicer note line 189
LN-08270910-10190,SERV-01,156542.52,LATE_60,86,2023-09-12,2026-08-27,,
LN-08270910-10191,SERV-03,32778.21,DEFAULT,125,2023-05-27,2026-08-27,,
LN-08270910-10191,SERV-03,32878.21,DEFAULT,125,2023-05-27,2026-08-27,,
LN-08270910-10192,SERV-02,30703.93,DEFAULT,318,2023-10-06,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10193,SERV-02,86250.29,LATE_90,106,2023-03-12,2026-08-27,,Servicer note line 193
LN-08270910-10194,SERV-01,89536.37,LATE_60,64,2023-05-19,2026-08-27,,
LN-08270910-10195,SERV-02,26497.48,LATE_30,43,2023-03-12,2026-08-27,,
LN-08270910-10196,SERV-02,14231.29,DEFAULT,231,2024-01-13,2026-08-27,,
LN-08270910-10197,SERV-03,67233.13,CLOSED,0,2023-07-21,2026-08-27,AUDIT-FLAG-4,
LN-08270910-10198,SERV-01,112141.56,CURRENT,0,2023-10-31,2026-08-27,,
LN-08270910-10199,SERV-03,20084.73,CURRENT,0,2023-09-06,2026-08-27,,
LN-08270910-10200,SERV-02,153188.51,DEFAULT,309,2023-06-09,2026-08-27,,Servicer note line 200
LN-08270910-10201,SERV-03,100806.49,CURRENT,0,2023-06-27,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10202,SERV-02,5411.23,DEFAULT,165,2024-01-22,2026-08-27,,
LN-08270910-10203,SERV-01,47896.71,LATE_60,71,2023-04-28,2026-08-27,,
LN-08270910-10204,SERV-01,-27879.4,DEFAULT,257,2023-10-08,2026-08-27,,
LN-08270910-10205,SERV-01,27554.84,DEFAULT,159,2023-11-01,2026-08-27,,
LN-08270910-10206,SERV-02,127744.11,LATE_90,112,2023-09-20,2026-08-27,,
LN-08270910-10207,SERV-03,15325.38,LATE_30,57,2023-05-11,2026-08-27,,
LN-08270910-10208,SERV-02,113314.56,LATE_60,66,2023-11-16,2026-08-27,,
LN-08270910-10209,SERV-03,21802.85,LATE_30,42,2023-07-09,2026-08-27,,Servicer note line 209
LN-08270910-10210,SERV-01,28500.0,CLOSED,0,2023-08-26,2026-08-27,,
LN-08270910-10211,SERV-03,64483.99,CURRENT,0,2023-07-18,2026-08-27,,
LN-08270910-10212,SERV-02,43650.86,LATE_30,41,2023-05-23,2026-08-27,,Servicer note line 212
LN-08270910-10213,SERV-02,30244.41,LATE_60,74,2023-12-06,2026-08-27,,
LN-08270910-10214,SERV-01,13861.22,CURRENT,0,2023-09-03,2026-08-27,,
LN-08270910-10215,SERV-01,100802.27,DEFAULT,215,2023-08-02,2026-08-27,,
LN-08270910-10216,SERV-01,82335.68,DEFAULT,291,2023-08-20,2026-08-27,,
LN-08270910-10216,SERV-01,82435.68,DEFAULT,291,2023-08-20,2026-08-27,,
LN-08270910-10217,SERV-02,78888.59,CURRENT,0,2023-11-15,2026-08-27,AUDIT-FLAG-1,Servicer note line 217
LN-08270910-10218,SERV-01,135309.42,LATE_30,50,2023-10-23,2026-08-27,,
LN-08270910-10219,SERV-03,107516.64,DEFAULT,184,2023-09-17,2026-08-27,,Servicer note line 219
LN-08270910-10220,SERV-02,162133.79,DEFAULT,148,2023-08-11,2026-08-27,,
LN-08270910-10221,SERV-02,187191.97,DEFAULT,279,2024-01-24,2026-08-27,,
LN-08270910-10222,SERV-03,153094.65,CURRENT,0,2023-03-29,2026-08-27,,
LN-08270910-10223,SERV-03,140630.56,LATE_90,97,2023-08-07,2026-08-27,,Servicer note line 223
LN-08270910-10224,SERV-01,18375.08,LATE_30,32,2023-04-22,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10225,SERV-02,38362.85,CURRENT,0,2023-11-14,2026-08-27,,
LN-08270910-10226,SERV-03,241336.77,CLOSED,0,2023-11-10,2026-08-27,,
LN-08270910-10227,SERV-02,12100.0,LATE_45,0,2023-12-25,2026-08-27,,
LN-08270910-10228,SERV-01,-27147.83,CLOSED,0,2023-05-31,2026-08-27,,
LN-08270910-10229,SERV-02,85855.96,CLOSED,0,2023-08-21,2026-08-27,,Servicer note line 229
LN-08270910-10230,SERV-03,110049.94,CLOSED,0,2023-08-01,2026-08-27,,
LN-08270910-10231,SERV-01,72508.95,LATE_90,109,2023-06-05,2026-08-27,,
LN-08270910-10232,SERV-03,53170.26,DEFAULT,140,2024-02-20,2026-08-27,,Servicer note line 232
LN-08270910-10233,SERV-03,72553.61,LATE_60,83,2023-04-27,2026-08-27,,
LN-08270910-10234,SERV-01,13152.7,DEFAULT,346,2023-10-14,2026-08-27,,
LN-08270910-10235,SERV-02,12100.0,LATE_45,95,2023-04-02,2026-08-27,,Servicer note line 235
LN-08270910-10236,SERV-03,88116.1,LATE_90,110,2023-07-05,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10237,SERV-03,70118.65,DEFAULT,205,2023-06-23,2026-08-27,AUDIT-FLAG-5,Servicer note line 237
LN-08270910-10238,SERV-03,8583.56,LATE_30,34,2023-08-29,2026-08-27,AUDIT-FLAG-3,Servicer note line 238
LN-08270910-10239,SERV-02,130065.76,LATE_30,52,2023-04-14,2026-08-27,,
LN-08270910-10240,SERV-01,45000.0,CLOSED,0,2023-07-07,2026-08-27,AUDIT-FLAG-2,
LN-08270910-10241,SERV-02,94665.88,CLOSED,0,2023-09-27,2026-08-27,,Servicer note line 241
LN-08270910-10242,SERV-01,234723.8,DEFAULT,208,2023-06-12,2026-08-27,AUDIT-FLAG-2,
LN-08270910-10243,SERV-03,65400.34,LATE_90,109,2023-03-30,2026-08-27,AUDIT-FLAG-5,Servicer note line 243
LN-08270910-10244,SERV-01,7384.79,CURRENT,0,2023-03-04,2026-08-27,,
LN-08270910-10245,SERV-01,16684.52,DEFAULT,233,2024-13-45,2026-08-27,,
LN-08270910-10246,SERV-02,119913.24,CLOSED,0,2023-05-10,2026-08-27,,
LN-08270910-10247,SERV-02,-92052.69,LATE_60,74,2023-07-28,2026-08-27,,
LN-08270910-10249,SERV-03,13236.2,LATE_60,69,2023-03-24,2026-08-27,,
LN-08270910-10251,SERV-03,82808.54,DEFAULT,260,2023-12-16,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10252,SERV-03,32415.92,DEFAULT,292,15/01/2023,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10253,SERV-02,12528.13,CURRENT,0,2023-12-10,2026-08-27,,
LN-08270910-10254,SERV-02,158575.63,CLOSED,0,2023-06-28,2026-08-27,AUDIT-FLAG-4,
LN-08270910-10255,SERV-01,29048.34,DEFAULT,326,2023-12-10,2026-08-27,,
LN-08270910-10256,SERV-03,48550.26,LATE_90,113,2024-02-18,2026-08-27,,Servicer note line 256
LN-08270910-10257,SERV-02,108059.21,LATE_30,53,2023-05-11,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10258,SERV-03,146144.81,CURRENT,0,2023-11-15,2026-08-27,,
LN-08270910-10259,SERV-02,24761.48,LATE_90,113,2023-11-29,2026-08-27,,
LN-08270910-10260,SERV-01,45000.0,CLOSED,54,2023-08-28,2026-08-27,,
LN-08270910-10261,SERV-01,133581.79,LATE_60,78,2023-04-17,2026-08-27,,Servicer note line 261
LN-08270910-10262,SERV-02,-69141.13,LATE_90,93,2023-09-17,2026-08-27,,Servicer note line 262
LN-08270910-10263,SERV-02,188703.94,CLOSED,0,2023-06-01,2026-08-27,,
LN-08270910-10264,SERV-01,84640.02,LATE_60,82,2023-12-09,2026-08-27,,
LN-08270910-10265,SERV-03,96096.32,LATE_30,37,2023-12-28,2026-08-27,,
LN-08270910-10266,SERV-02,52468.46,LATE_30,35,2023-08-23,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10267,SERV-03,101711.44,CURRENT,0,2023-12-07,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10268,SERV-01,142230.76,LATE_90,96,2023-03-15,2026-08-27,,
LN-08270910-10269,SERV-03,44512.09,LATE_90,102,2024-02-14,2026-08-27,,
LN-08270910-10270,SERV-01,19349.36,LATE_30,47,2023-04-24,2026-08-27,,
LN-08270910-10271,SERV-03,25425.67,CLOSED,0,2023-11-25,2026-08-27,,
LN-08270910-10272,SERV-01,165922.58,LATE_30,33,2023-11-05,2026-08-27,,
LN-08270910-10273,SERV-01,62928.29,CLOSED,0,2024-02-23,2026-08-27,,Servicer note line 273
LN-08270910-10274,SERV-02,104181.55,CLOSED,0,2024-01-17,2026-08-27,AUDIT-FLAG-2,
LN-08270910-10275,SERV-03,28357.75,CLOSED,0,2023-10-19,2026-08-27,,
LN-08270910-10276,SERV-02,44308.7,CURRENT,0,2023-04-07,2026-08-27,,
LN-08270910-10277,SERV-01,61558.47,LATE_60,87,2023-11-03,2026-08-27,,
LN-08270910-10278,SERV-01,37210.89,CURRENT,45,2023-05-24,2026-08-27,,
LN-08270910-10279,SERV-02,13337.63,LATE_60,69,2023-09-23,2026-08-27,,Servicer note line 279
LN-08270910-10280,SERV-03,231850.92,CURRENT,0,2024-02-10,2026-08-27,,Servicer note line 280
