loan_id,promissory_note_present,id_proof_present,income_verification_present,document_verification_status,uploaded_at,legacy_servicer_code,ocr_confidence_score
LN-08270910-10244,TRUE,TRUE,TRUE,INCOMPLETE,2023-01-03,LEGACY-CODE-3204,
LN-08270910-10245,TRUE,TRUE,,PENDING,2024-13-45,,
LN-08270910-10246,TRUE,TRUE,TRUE,PENDING,2023-12-20,,
LN-08270910-10247,FALSE,TRUE,FALSE,PENDING,2023-05-29,,
LN-08270910-10249,FALSE,,TRUE,PENDING,2023-01-23,LEGACY-CODE-5956,
,TRUE,TRUE,TRUE,VERIFIED,2023-09-07,LEGACY-CODE-2231,
LN-08270910-10251,TRUE,TRUE,,PENDING,2023-10-17,LEGACY-CODE-5847,
LN-08270910-10252,FALSE,,FALSE,PENDING,15/01/2023,,
LN-08270910-10253,TRUE,TRUE,TRUE,VERIFIED,2023-10-11,,
LN-08270910-10254,FALSE,TRUE,TRUE,PENDING,2023-04-29,,0.7
LN-08270910-10255,,FALSE,TRUE,PENDING,2023-10-11,,
LN-08270910-10256,,TRUE,TRUE,PENDING,2023-12-20,,
LN-08270910-10257,,FALSE,TRUE,PENDING,2023-03-12,LEGACY-CODE-8559,0.65
LN-08270910-10258,TRUE,TRUE,TRUE,VERIFIED,2023-09-16,,0.75
LN-08270910-10259,FALSE,FALSE,,PENDING,2023-09-30,,
LN-08270910-10260,,,FALSE,PENDING,2023-06-29,,0.96
LN-08270910-10261,FALSE,,FALSE,PENDING,2023-02-16,LEGACY-CODE-3465,
LN-08270910-10262,,,FALSE,PENDING,2023-07-19,LEGACY-CODE-3128,
LN-08270910-10263,FALSE,TRUE,FALSE,PENDING,2023-04-02,LEGACY-CODE-9325,0.92
LN-08270910-10264,FALSE,,TRUE,PENDING,2023-10-10,,
LN-08270910-10265,FALSE,TRUE,,PENDING,2023-10-29,LEGACY-CODE-4244,
LN-08270910-10266,FALSE,FALSE,FALSE,PENDING,2023-06-24,,
LN-08270910-10267,TRUE,TRUE,TRUE,VERIFIED,2023-10-08,LEGACY-CODE-6986,
LN-08270910-10268,,TRUE,,PENDING,2023-01-14,,
LN-08270910-10269,FALSE,TRUE,,PENDING,2023-12-16,,
LN-08270910-10270,FALSE,TRUE,TRUE,PENDING,2023-02-23,LEGACY-CODE-1137,
LN-08270910-10271,,,TRUE,PENDING,2023-09-26,,
LN-08270910-10272,TRUE,TRUE,,PENDING,2023-09-06,,
LN-08270910-10273,TRUE,FALSE,TRUE,PENDING,2023-12-25,,
LN-08270910-10274,FALSE,TRUE,FALSE,PENDING,2023-11-18,,
LN-08270910-10275,,,,PENDING,2023-08-20,LEGACY-CODE-2341,
LN-08270910-10276,TRUE,TRUE,TRUE,VERIFIED,2023-02-06,,
LN-08270910-10277,TRUE,FALSE,FALSE,PENDING,2023-09-04,,
LN-08270910-10278,FALSE,FALSE,TRUE,PENDING,2023-03-25,LEGACY-CODE-2779,
LN-08270910-10279,TRUE,,,PENDING,2023-07-25,,0.62
LN-08270910-10280,TRUE,TRUE,TRUE,VERIFIED,2023-12-12,,
LN-08270910-10281,FALSE,,FALSE,PENDING,2023-02-07,,0.8
LN-08270910-10282,FALSE,,,PENDING,2023-01-23,,0.65
LN-08270910-10283,TRUE,TRUE,TRUE,VERIFIED,2023-01-31,,
LN-08270910-10283,TRUE,TRUE,TRUE,INCOMPLETE,2023-01-31,,
LN-08270910-10284,,TRUE,TRUE,PENDING,2023-12-04,,
LN-08270910-10285,FALSE,TRUE,,PENDING,2023-02-08,LEGACY-CODE-6624,
LN-08270910-10286,FALSE,FALSE,TRUE,PENDING,2023-11-23,,
LN-08270910-10288,,,TRUE,PENDING,15/01/2023,LEGACY-CODE-2440,
LN-08270910-10289,TRUE,TRUE,FALSE,PENDING,2023-04-01,,
LN-08270910-10290,FALSE,,FALSE,PENDING,2023-12-22,LEGACY-CODE-3925,
LN-08270910-10291,TRUE,TRUE,TRUE,VERIFIED,2023-11-27,,
LN-08270910-10292,,FALSE,FALSE,PENDING,2023-04-07,,
LN-08270910-10293,TRUE,TRUE,TRUE,VERIFIED,2023-05-11,,
LN-08270910-10294,TRUE,TRUE,TRUE,VERIFIED,2023-01-21,,
LN-08270910-10295,FALSE,,FALSE,PENDING,2023-02-01,LEGACY-CODE-4394,0.58
LN-08270910-10296,,,TRUE,PENDING,INVALID_DATE,,0.58
LN-08270910-10297,,FALSE,TRUE,PENDING,2023-10-09,LEGACY-CODE-4715,
LN-08270910-10298,TRUE,FALSE,,PENDING,2023-07-24,,
LN-08270910-10299,,FALSE,FALSE,PENDING,2023-02-04,,
LN-08270910-10300,TRUE,FALSE,TRUE,PENDING,2023-05-22,,
LN-08270910-10301,,TRUE,TRUE,PENDING,2023-06-20,,
LN-08270910-10302,,FALSE,,PENDING,2023-12-02,,
LN-08270910-10303,TRUE,TRUE,TRUE,VERIFIED,2023-03-17,,
LN-08270910-10304,,FALSE,,PENDING,2023-10-03,,0.83
LN-08270910-10305,,TRUE,TRUE,PENDING,2023-10-04,LEGACY-CODE-3851,
LN-08270910-10307,FALSE,,FALSE,PENDING,2023-07-21,,
LN-08270910-10308,,,,PENDING,2023-12-06,LEGACY-CODE-9292,0.63
LN-08270910-10309,TRUE,FALSE,TRUE,PENDING,2023-03-23,,
LN-08270910-10310,FALSE,,,PENDING,2023-02-03,,
LN-08270910-10311,TRUE,,FALSE,PENDING,2023-02-20,,
LN-08270910-10312,TRUE,,TRUE,PENDING,2023-05-26,LEGACY-CODE-5034,
LN-08270910-10313,,TRUE,FALSE,PENDING,2023-01-27,LEGACY-CODE-3288,
LN-08270910-10314,FALSE,TRUE,,PENDING,2023-02-18,,
LN-08270910-10315,TRUE,TRUE,TRUE,VERIFIED,2023-08-19,,
LN-08270910-10316,,TRUE,FALSE,PENDING,2023-12-04,,
LN-08270910-10317,FALSE,,TRUE,PENDING,2023-02-19,,0.52
LN-08270910-10318,,FALSE,,PENDING,2023-05-06,,
LN-08270910-10318,,FALSE,,INCOMPLETE,2023-05-06,,
LN-08270910-10319,FALSE,TRUE,TRUE,PENDING,2023-09-07,LEGACY-CODE-8940,0.59
LN-08270910-10320,FALSE,FALSE,,PENDING,2023-03-05,,
LN-08270910-10321,TRUE,FALSE,TRUE,PENDING,2023-04-22,,
LN-08270910-10322,TRUE,TRUE,TRUE,VERIFIED,2023-06-28,,0.73
LN-08270910-10323,FALSE,FALSE,TRUE,PENDING,2023-05-28,,
LN-08270910-10324,,TRUE,,PENDING,2023-11-26,,
LN-08270910-10325,TRUE,,FALSE,PENDING,2023-04-17,,
LN-08270910-10326,FALSE,TRUE,FALSE,PENDING,2023-01-27,,0.52
LN-08270910-10327,,FALSE,FALSE,PENDING,2023-06-01,,
LN-08270910-10328,TRUE,TRUE,TRUE,VERIFIED,2023-05-27,LEGACY-CODE-1150,
LN-08270910-10329,FALSE,,FALSE,PENDING,2023-12-19,,0.92
LN-08270910-10330,FALSE,FALSE,,PENDING,2023-05-28,,0.65
LN-08270910-10331,FALSE,FALSE,FALSE,MISSING,2023-12-02,,
LN-08270910-10332,TRUE,FALSE,FALSE,PENDING,2023-01-08,LEGACY-CODE-7603,
LN-08270910-10333,TRUE,TRUE,TRUE,VERIFIED,2023-05-23,LEGACY-CODE-9666,0.86
LN-08270910-10334,TRUE,TRUE,TRUE,VERIFIED,2023-08-20,,
LN-08270910-10335,,,TRUE,PENDING,2023-03-04,,
LN-08270910-10336,,,FALSE,PENDING,2023-01-10,,0.73
LN-08270910-10337,TRUE,TRUE,TRUE,VERIFIED,2023-09-03,,
LN-08270910-10338,,FALSE,FALSE,PENDING,2023-12-21,,
LN-08270910-10339,TRUE,FALSE,,PENDING,2023-01-25,,
LN-08270910-10340,,,FALSE,PENDING,2023-05-21,,
LN-08270910-10341,FALSE,FALSE,,PENDING,2023-10-04,,
LN-08270910-10342,FALSE,FALSE,FALSE,PENDING,2023-10-03,,
LN-08270910-10343,TRUE,,,PENDING,2023-05-10,,
LN-08270910-10344,FALSE,FALSE,TRUE,PENDING,2023-06-21,,
LN-08270910-10345,TRUE,TRUE,TRUE,VERIFIED,2023-11-11,,
LN-08270910-10346,TRUE,TRUE,TRUE,VERIFIED,2023-06-27,,
LN-08270910-10347,TRUE,TRUE,TRUE,VERIFIED,2023-04-26,,
LN-08270910-10348,,TRUE,TRUE,PENDING,2023-12-01,,
LN-08270910-10349,,FALSE,FALSE,PENDING,2023-02-08,LEGACY-CODE-9820,
